,Load [W],Mass Flow Rate [kg/s]
2018-01-01 01:58:00,0.0,0.1
2018-01-01 01:59:00,0.0,0.1
2018-01-01 02:00:00,0.0,0.1
2018-01-01 02:01:00,0.0,0.1
2018-01-01 02:02:00,0.0,0.1
2018-01-01 02:03:00,0.0,0.1
2018-01-01 02:04:00,0.0,0.1
2018-01-01 02:05:00,0.0,0.1
2018-01-01 02:06:00,-132.8552017889282,0.1
2018-01-01 02:07:00,-35.85804004589244,0.1
2018-01-01 02:08:00,1075.6390695969544,0.1
2018-01-01 02:09:00,1421.0622736662108,0.1
2018-01-01 02:10:00,1599.526927000761,0.1
2018-01-01 02:11:00,1733.6508545007646,0.1
2018-01-01 02:12:00,1588.5909047848722,0.1
2018-01-01 02:13:00,2004.3580958299,0.1
2018-01-01 02:14:00,2119.2406613502467,0.1
2018-01-01 02:15:00,1996.1922185586784,0.1
2018-01-01 02:16:00,1906.0530315328672,0.1
2018-01-01 02:17:00,1036.3049219483967,0.1
2018-01-01 02:18:00,642.3127134730015,0.1
2018-01-01 02:19:00,590.1124182229075,0.1
2018-01-01 02:20:00,522.0992065803424,0.1
2018-01-01 02:21:00,493.51443980743295,0.1
2018-01-01 02:22:00,0.0,0.1
2018-01-01 02:23:00,0.0,0.1
2018-01-01 02:24:00,0.0,0.1
2018-01-01 02:25:00,0.0,0.1
2018-01-01 02:26:00,0.0,0.1
2018-01-01 02:27:00,0.0,0.1
2018-01-01 02:28:00,0.0,0.1
2018-01-01 02:29:00,0.0,0.1
2018-01-01 02:30:00,55.26609621153227,0.1
2018-01-01 02:31:00,58.05476291919466,0.1
2018-01-01 02:32:00,492.41863495498274,0.1
2018-01-01 02:33:00,676.997837564516,0.1
2018-01-01 02:34:00,965.0782504347092,0.1
2018-01-01 02:35:00,1231.321642997245,0.1
2018-01-01 02:36:00,950.5696827526493,0.1
2018-01-01 02:37:00,836.6569190964261,0.1
2018-01-01 02:38:00,732.3780499270878,0.1
2018-01-01 02:39:00,223.85441379549292,0.1
2018-01-01 02:40:00,-63.116112177501314,0.1
2018-01-01 02:41:00,-150.3690787529989,0.1
2018-01-01 02:42:00,0.0,0.1
2018-01-01 02:43:00,0.0,0.1
2018-01-01 02:44:00,0.0,0.1
2018-01-01 02:45:00,0.0,0.1
2018-01-01 02:46:00,0.0,0.1
2018-01-01 02:47:00,0.0,0.1
2018-01-01 02:48:00,0.0,0.1
2018-01-01 02:49:00,0.0,0.1
2018-01-01 02:50:00,0.0,0.1
2018-01-01 02:51:00,0.0,0.1
2018-01-01 02:52:00,0.0,0.1
2018-01-01 02:53:00,0.0,0.1
2018-01-01 02:54:00,0.0,0.1
2018-01-01 02:55:00,0.0,0.1
2018-01-01 02:56:00,0.0,0.1
2018-01-01 02:57:00,0.0,0.1
2018-01-01 02:58:00,0.0,0.1
2018-01-01 02:59:00,0.0,0.1
2018-01-01 03:00:00,0.0,0.1
2018-01-01 03:01:00,0.0,0.1
2018-01-01 03:02:00,0.0,0.1
2018-01-01 03:03:00,0.0,0.1
2018-01-01 03:04:00,0.0,0.1
2018-01-01 03:05:00,0.0,0.1
2018-01-01 03:06:00,0.0,0.1
2018-01-01 03:07:00,0.0,0.1
2018-01-01 03:08:00,0.0,0.1
2018-01-01 03:09:00,0.0,0.1
2018-01-01 03:10:00,0.0,0.1
2018-01-01 03:11:00,0.0,0.1
2018-01-01 03:12:00,0.0,0.1
2018-01-01 03:13:00,0.0,0.1
2018-01-01 03:14:00,0.0,0.1
2018-01-01 03:15:00,0.0,0.1
2018-01-01 03:16:00,0.0,0.1
2018-01-01 03:17:00,0.0,0.1
2018-01-01 03:18:00,-184.8424123694764,0.1
2018-01-01 03:19:00,-330.47449236632895,0.1
2018-01-01 03:20:00,-165.490044215791,0.1
2018-01-01 03:21:00,60.700247364689716,0.1
2018-01-01 03:22:00,277.2216422525947,0.1
2018-01-01 03:23:00,488.91700434563523,0.1
2018-01-01 03:24:00,558.9533611680472,0.1
2018-01-01 03:25:00,852.962429817571,0.1
2018-01-01 03:26:00,932.3003925578615,0.1
2018-01-01 03:27:00,1055.299548330929,0.1
2018-01-01 03:28:00,955.7033728242126,0.1
2018-01-01 03:29:00,181.63825724611664,0.1
2018-01-01 03:30:00,-128.52999091631693,0.1
2018-01-01 03:31:00,-210.99132245222708,0.1
2018-01-01 03:32:00,-244.1271336323963,0.1
2018-01-01 03:33:00,-244.6067445869988,0.1
2018-01-01 03:34:00,0.0,0.1
2018-01-01 03:35:00,0.0,0.1
2018-01-01 03:36:00,0.0,0.1
2018-01-01 03:37:00,0.0,0.1
2018-01-01 03:38:00,0.0,0.1
2018-01-01 03:39:00,0.0,0.1
2018-01-01 03:40:00,0.0,0.1
2018-01-01 03:41:00,0.0,0.1
2018-01-01 03:42:00,-202.425362527892,0.1
2018-01-01 03:43:00,-323.31288630800145,0.1
2018-01-01 03:44:00,-103.9707532853276,0.1
2018-01-01 03:45:00,178.3335271761074,0.1
2018-01-01 03:46:00,493.922204035606,0.1
2018-01-01 03:47:00,824.7541279267163,0.1
2018-01-01 03:48:00,803.8171179412684,0.1
2018-01-01 03:49:00,956.0694176476942,0.1
2018-01-01 03:50:00,1043.0199627031066,0.1
2018-01-01 03:51:00,1073.1459700121204,0.1
2018-01-01 03:52:00,1078.0710332912197,0.1
2018-01-01 03:53:00,347.1403000455403,0.1
2018-01-01 03:54:00,22.334856565722056,0.1
2018-01-01 03:55:00,-40.34536506432806,0.1
2018-01-01 03:56:00,-118.86134230926483,0.1
2018-01-01 03:57:00,-199.59899138501063,0.1
2018-01-01 03:58:00,0.0,0.1
2018-01-01 03:59:00,0.0,0.1
2018-01-01 04:00:00,0.0,0.1
2018-01-01 04:01:00,0.0,0.1
2018-01-01 04:02:00,0.0,0.1
2018-01-01 04:03:00,0.0,0.1
2018-01-01 04:04:00,0.0,0.1
2018-01-01 04:05:00,0.0,0.1
2018-01-01 04:06:00,-172.6449029355785,0.1
2018-01-01 04:07:00,-295.22990747442714,0.1
2018-01-01 04:08:00,31.207991561850935,0.1
2018-01-01 04:09:00,539.6905091580248,0.1
2018-01-01 04:10:00,981.0867544363106,0.1
2018-01-01 04:11:00,1125.7675597620077,0.1
2018-01-01 04:12:00,932.5556581752649,0.1
2018-01-01 04:13:00,1164.6966907124363,0.1
2018-01-01 04:14:00,1158.4377971723857,0.1
2018-01-01 04:15:00,1130.0929138473684,0.1
2018-01-01 04:16:00,1088.5932073117208,0.1
2018-01-01 04:17:00,420.3920670715703,0.1
2018-01-01 04:18:00,95.34603463061138,0.1
2018-01-01 04:19:00,-12.337969910938886,0.1
2018-01-01 04:20:00,-78.64534950399624,0.1
2018-01-01 04:21:00,-87.95828229570778,0.1
2018-01-01 04:22:00,0.0,0.1
2018-01-01 04:23:00,0.0,0.1
2018-01-01 04:24:00,0.0,0.1
2018-01-01 04:25:00,0.0,0.1
2018-01-01 04:26:00,0.0,0.1
2018-01-01 04:27:00,0.0,0.1
2018-01-01 04:28:00,0.0,0.1
2018-01-01 04:29:00,0.0,0.1
2018-01-01 04:30:00,-165.81453219039534,0.1
2018-01-01 04:31:00,-253.4146688946752,0.1
2018-01-01 04:32:00,459.6759814298392,0.1
2018-01-01 04:33:00,1157.0018939391532,0.1
2018-01-01 04:34:00,1425.0219417540284,0.1
2018-01-01 04:35:00,1625.680723368293,0.1
2018-01-01 04:36:00,1512.848772667738,0.1
2018-01-01 04:37:00,1770.908298149808,0.1
2018-01-01 04:38:00,1782.7582550154598,0.1
2018-01-01 04:39:00,1771.9093220883092,0.1
2018-01-01 04:40:00,1688.7281261433752,0.1
2018-01-01 04:41:00,887.8020750290217,0.1
2018-01-01 04:42:00,488.7428964205408,0.1
2018-01-01 04:43:00,369.9755086186487,0.1
2018-01-01 04:44:00,259.55338183971037,0.1
2018-01-01 04:45:00,225.44507551693167,0.1
2018-01-01 04:46:00,0.0,0.1
2018-01-01 04:47:00,0.0,0.1
2018-01-01 04:48:00,0.0,0.1
2018-01-01 04:49:00,0.0,0.1
2018-01-01 04:50:00,0.0,0.1
2018-01-01 04:51:00,0.0,0.1
2018-01-01 04:52:00,0.0,0.1
2018-01-01 04:53:00,0.0,0.1
2018-01-01 04:54:00,6.144395735982483,0.1
2018-01-01 04:55:00,75.40183510006224,0.1
2018-01-01 04:56:00,1289.3517938712155,0.1
2018-01-01 04:57:00,1711.7194593484026,0.1
2018-01-01 04:58:00,1940.070260642482,0.1
2018-01-01 04:59:00,2043.4501242897866,0.1
2018-01-01 05:00:00,1843.6191052410838,0.1
2018-01-01 05:01:00,1981.5942808055026,0.1
2018-01-01 05:02:00,2071.8496986891378,0.1
2018-01-01 05:03:00,2068.4874846173,0.1
2018-01-01 05:04:00,1926.3700584716044,0.1
2018-01-01 05:05:00,1080.405696675975,0.1
2018-01-01 05:06:00,689.5325296946969,0.1
2018-01-01 05:07:00,645.7477144401208,0.1
2018-01-01 05:08:00,581.40163593897,0.1
2018-01-01 05:09:00,549.2650115503109,0.1
2018-01-01 05:10:00,0.0,0.1
2018-01-01 05:11:00,0.0,0.1
2018-01-01 05:12:00,0.0,0.1
2018-01-01 05:13:00,0.0,0.1
2018-01-01 05:14:00,0.0,0.1
2018-01-01 05:15:00,0.0,0.1
2018-01-01 05:16:00,0.0,0.1
2018-01-01 05:17:00,0.0,0.1
2018-01-01 05:18:00,268.40456974903384,0.1
2018-01-01 05:19:00,14.74636103274773,0.1
2018-01-01 05:20:00,327.18385741864114,0.1
2018-01-01 05:21:00,561.3487159099333,0.1
2018-01-01 05:22:00,536.7087924881315,0.1
2018-01-01 05:23:00,620.4829071398225,0.1
2018-01-01 05:24:00,509.15806541302237,0.1
2018-01-01 05:25:00,102.22248136428104,0.1
2018-01-01 05:26:00,-138.42852331809974,0.1
2018-01-01 05:27:00,-171.72684222852234,0.1
2018-01-01 05:28:00,-183.328954239992,0.1
2018-01-01 05:29:00,-191.75039412066633,0.1
2018-01-01 05:30:00,0.0,0.1
2018-01-01 05:31:00,0.0,0.1
2018-01-01 05:32:00,0.0,0.1
2018-01-01 05:33:00,0.0,0.1
2018-01-01 05:34:00,0.0,0.1
2018-01-01 05:35:00,0.0,0.1
2018-01-01 05:36:00,0.0,0.1
2018-01-01 05:37:00,0.0,0.1
2018-01-01 05:38:00,0.0,0.1
2018-01-01 05:39:00,0.0,0.1
2018-01-01 05:40:00,0.0,0.1
2018-01-01 05:41:00,0.0,0.1
2018-01-01 05:42:00,0.0,0.1
2018-01-01 05:43:00,0.0,0.1
2018-01-01 05:44:00,0.0,0.1
2018-01-01 05:45:00,0.0,0.1
2018-01-01 05:46:00,0.0,0.1
2018-01-01 05:47:00,0.0,0.1
2018-01-01 05:48:00,0.0,0.1
2018-01-01 05:49:00,0.0,0.1
2018-01-01 05:50:00,0.0,0.1
2018-01-01 05:51:00,0.0,0.1
2018-01-01 05:52:00,0.0,0.1
